relone_date,gov_date,type,feature,description
2023/09/22,2024/01/31,Enhancement,Import/Export,"You can now activate email notifications to get informed once your job is completed, failed, or canceled."
2023/09/22,2023/09/22,Enhancement,Integration Points,"Integration Points allows to transfer Relativity Short Message Format (RSMF) metadata between workspaces, to cover E2E use case of RSMF."
2023/09/18,2023/09/18,Resolved defect,Legal Hold,A defect was fixed which was causing the Employment Status Change Report to fail to be generated in certain workflows.
2023/09/14,2023/09/28,Enhancement,Automated Workflows,Your automated workflows will now be linked when a workflow is created by either the Copy to Workspace feature or new workspace creation from a workspace template that includes automation.
2023/09/14,2023/09/28,Enhancement,Automated Workflows,"Once you apply a change to your template workflow, you can now cascade those changes to identical workflows in your instance. Click on the Workflow Sync button, select the Sync to Workspaces tab, select your workspaces, and click Sync."
2023/09/14,2023/09/28,Enhancement,Automated Workflows,"Once your automated workflow is designated as a template workflow, you can use the Sync to Workspaces functionality to push changes to identical workflows in your instance. You can only have one template workflow in a group of identical workflows across workspaces."
2023/09/14,2023/09/28,Enhancement,Automated Workflows,"When on a linked automated workflow to a template workflow, you can now see that the workflow is linked and navigate to the template workflow. You must have permissions to template workflow in order to navigate to it."
2023/09/14,2023/09/14,Enhancement,Collect,"Inactive Microsoft 365 Outlook mailboxes are now collected when using the standard M365 Outlook Mailbox connector. This does require the full_access_as_app permission in your Azure Application Registration. If you already added that permission to support M365 Online Archived mailbox collections, then no action is required."
2023/09/14,2023/09/14,Enhancement,Review Center,"You can now move a queue into a completed state, which removes access for reviewers and also pushes the queue to the end of the tab strip at the top of the Review Center dashboard. You can also re-enable a queue if you want to make it active again."
2023/09/14,2023/09/14,Enhancement,Review Center,"You can now filter the queue tabs on the Review Center dashboard by using the Queue Label field, which you can set on queue settings. The filter only applies to the queue tabs at the top of the dashboard, it has no impact on the leaderboard or charts."
2023/09/14,2023/09/14,Enhancement,Review Center,"We redesigned the Queue Summary strip on the Review Center dashboard to make it easier to use, understand, and find key information about your queue."
2023/09/12,TBA,Enhancement,Authentication Provider,The Authentication Providers page now contains actionable error messages for troubleshooting the set up of single sign-on.
2023/09/12,2023/09/15,Enhancement,Permissions,"This improvement simplifies the experience of managing Permissions by the User by providing the ability to update multiple permissions within a single group at once, instead doing it for each of them one by one."
2023/09/12,2023/09/12,Enhancement,Review Center,"You can leave most fields empty when creating or editing a queue template, forcing decisions to be made at the time of creating a brand new queue from the template."
2023/09/05,2023/09/05,Enhancement,Review Center,The classification job was updated to use a Logarithmic instead of a linear term frequency that results in a more intuitive rank distribution of the document set in Prioritized Review Queues.
2023/09/01,2023/09/01,Enhancement,Product documentation,"You can now hover over section headings in product documentation to get, and copy, a hyperlink directly to that heading."
2023/08/31,2023/08/31,Enhancement,Integration Points,"Integration Points will now allow to map Full Name field for entities import from LDAP, FTP, and Azure AD. Integration Points will generate Full Name field automatically, based on First Name and Last Name fields, only if it is not being mapped."
2023/08/29,2023/08/29,Enhancement,Review Center,Allow Coded in Review will check for outside-coded documents during queue refreshes and every time a reviewer checks out a document.
2023/08/28,TBA,Enhancement,Processing,Any Publish Job Error that is retried will always have a status of Retried when complete. Any new job errors that occur during the Publishing phase is marked as Ready to Retry and ensures that the most recent Publish Job Error is the actionable error with no references to errors in an Unresolvable status.
2023/08/28,2023/08/28,Enhancement,Product documentation,The RelativityOne Developer documentation site has been significantly updated to better support Relativity developers. See Developer News in the RelativityOne Developer documentation for more information.
2023/08/25,2023/08/25,Enhancement,Integration Points,"Improved behavior divides scope of a document transfer job into batches, which are sent to IAPI for further processing. This batching is transparent and you can run large workspace-to-workspace jobs without splitting data into smaller chunks."
2023/08/22,2023/08/22,Resolved defect,Legal Hold,Fixed defect where the Employment Status Change report was not reporting on changes to the Employment Status field.
2023/08/21,TBA,Enhancement,Automated Workflows,You can now include Contracts OCR and Contracts Analysis jobs as actions of an Automated Workflow. Sequence these actions with others in your workflows to automate tasks for your Contracts use cases.
2023/08/16,2023/08/21,Enhancement,ARM,"When setting up archive job, you can choose if corrupted indexes should be skipped or it should stop the job. An archive skip behavior is set by default. At the end of the job, summary page will show all archived and restored indexes."
2023/08/16,2023/08/21,Enhancement,ARM,"After Archive and Restore job, the Job Summary table includes the extracted text statistics."
2023/08/10,2024/01/31,Enhancement,Express Transfer,"When using Express Transfer with Import/Export, if a job fails to finish or completes with errors, you can now generate a report from Express Transfer Job Details."
2023/08/09,2023/08/09,Resolved defect,Legal Hold,Fixed issue where Entities with aliased email addresses in M365 were unable to have their OneDrive URLs found.
2023/08/03,2023/08/03,Enhancement,Collect,"For Microsoft 365 Outlook mailboxes, including calendars and contacts, and OneDrive collections, you can run the inventory phase of a collection without performing the physical collection. You will then be able to see the number of items discovered and estimated collection size for each custodian target."
2023/07/29,2023/08/15,Enhancement,Security Alerts,You can now resolve an alert with a single click in Security Center. Eliminating the need to leave the Security Alerts page to take manual action. We also added an alert state so you know what alerts need to be addressed and have been addressed. Enabling you to decide what alerts you get emails about to focus on the signals most important to your security posture.
2023/07/27,TBA,Resolved defect,List Page,"In Relativityâs dedication to the customer experience, several improvements were made to the new list page. This work reduced the number of customer incidents and the improved performance of the new list page."
2023/07/27,2023/07/27,Enhancement,Review Center,"A queue with a relational field set will now serve each group's members in the order specified by the field's Relational View. Previously, relational group members were served in order of artifact ID."
2023/07/21,2023/07/21,Enhancement,Review Center,You can now assign more than one reviewer group to a queue. All users in the groups will have access to the queue.
2023/07/20,2024/01/31,Enhancement,Import/Export,You can now import PDFs directly into production set.
2023/07/20,2023/07/20,Enhancement,ARM,"Restore job will now complete, even if some application upgrade fails. You can now access workspace and repair applications after the job."
2023/07/20,2023/07/20,Deprecation,ARM,Advance Restore Options will no longer be available when creating Restore Job.
2023/07/19,2023/07/19,Resolved defect,Legal Hold,Fixed defect where Entity assigned dates were not showing up on the Entity layout.
2023/07/19,2023/07/19,Enhancement,Legal Hold,Added new choice 'Never' to Incoming Email Frequency and set as default setting.
2023/07/17,TBA,Resolved defect,Search,"In Relativityâs dedication to the customer experience, we have improved the stability and performance of index builds. This was done through multiple significant improvements and the migration of search data to AFS."
2023/07/17,2023/07/18,Enhancement,Integration Points,"The goal is to optimize jobs, to push from Repository to Review workspace only recently changed or added documents, comparing scope of previous execution of the started job."
2023/07/14,2024/01/31,Enhancement,Import/Export,You can now save your job settings to a file in all import and export flows and apply them when creating a new job.
2023/07/01,2023/07/15,Resolved defect,Extensibility Points,"In Relativityâs dedication to the customer experience, several improvements were made to Relativity Service Host. This work reduced the number of customer incidents, improved self-healing, and enhances the overall customer experience with Service Host and Kepler Services."
2023/06/30,2024/01/31,Enhancement,Import/Export,"You can now export your job settings to a file in the RDO data import flow. Then, you can apply the saved job configuration when creating a new import job."
2023/06/30,2023/06/30,Enhancement,OCR,The OCR engine now provides faster throughput and better text recognition results. These improvements impact non-Latin-based alphabet languages as well.
2023/06/23,TBA,Resolved defect,Imaging,"In Relativityâs dedication to the customer experience, we improved the stability of the imaging functionality. This work decreased incidents and outages."
2023/06/23,2024/01/31,Enhancement,Import/Export,"You can now export your job settings to a file in the document load file import flow. Then, you can apply the saved job configuration when creating a new import job."
2023/06/23,2023/06/23,Resolved defect,Legal Hold,Fixed defect for Scheduling Reminder where the first run of the project reminder would be skipped.
2023/06/23,2023/06/23,Enhancement,Legal Hold,Update OneDrive URL Discovery in Preservation in Place to use Graph API.
2023/06/16,2024/01/31,Enhancement,Import/Export,"You can now activate Express Transfer once per session, and it will reactivate automatically each time you need to set up a new job. You can deactivate Express Transfer manually anytime."
2023/06/07,TBA,Resolved defect,Analytics,"In Relativity's dedication to the customer experience, we fixed the issue where tagging documents during ""Find Similar Documents"" resulted in an out-of-memory exception and the documents returned would crash the page. The new pagination implementation will result in a more smooth experience for users of this feature."
2023/06/06,2023/06/06,Enhancement,Review Center,"Administrators can now specify a relational field on Prioritized Review queues. If the relational field is set, the entire relational group of the next available document will be reserved for the reviewer."
2023/06/06,2023/06/06,Enhancement,Review Center,"Prioritized Queues with fewer than 50 documents coded will now report ""Insufficient Data"" on the Review Progress, under ""Uncoded Predicted <Positive/Negative>"". This reflects the fact that AI accuracy is low when the model is in its earliest stages."
2023/06/06,2023/06/06,Enhancement,Legal Hold,Refactored Custodian Change report to add number of Legal Hold Projects to report UI.
2023/06/02,2024/01/31,Enhancement,Import/Export,You can now export Folder with subfolders directly from the Import/Export tool.
2023/06/02,2024/01/31,Enhancement,Import/Export,You can now set regional date/time settings when exporting workspace fields to a load file.
2023/06/02,TBA,Resolved defect,Processing,"In Relativity's dedication to the customer experience, we have focused on addressing most impactful discovery related issues. Recent updates have addressed stuck jobs for multiple handlersâPDF, OCR, Excel, Wordâupdated multiple third party libraries to latest available releases, improved error messages, implemented a more versatile handling of Google sidecar files, and updated RSMF to handle large files."
2023/06/01,TBA,Enhancement,Processing,"Improvements were made to our EnCase handler to improve stability, performance, error clarity, and identification of BitLocker partitions."
2023/06/01,2023/06/01,Enhancement,Automated Workflows,You can now add a secondary condition to the New Documents Added and Other trigger option that will enforce a time range for when the workflow can run after the first condition is met.
2023/05/25,TBA,Deprecation,Processing,"We have unmapped the Discover Error on Child Document field across every Relativity workspace based on evidence of the field not being of value and not having much usage. If the field is needed, clients can remap field and republish to populate the field."
2023/05/25,2023/05/25,Enhancement,Legal Hold,Added new columns to the Employment Status Change report. Removed 'grouping' logic for projects and put a row for each time a custodian is included in a project.
2023/05/25,2023/05/25,Enhancement,Legal Hold,Enable Open to Associations for Project::Type and CustodianRole::Release Date fields.
2023/05/24,2023/05/24,Enhancement,Review Center,"Review Center Queues now have a ""Queue Label"" field that allows administrators to organize queues into categories. For example, review stage or queue usage. The field is available in the Review Library tab's views for sorting and filtering purposes."
2023/05/24,2023/05/24,Enhancement,Review Center,"Edits to queue configuration during a queue refresh now trigger a cancel action on the refresh. Once the refresh is cancelled, a manual or automatic refresh is recommended to cause the changes to take effect"
2023/05/24,2023/05/24,Enhancement,Review Center,"When a queue is Active or Paused, and the queue is refreshed, its tab will now show the primary state. For example, ""Paused"" or ""Active"". If you click that tab, you will see in the Queue Status that the queue is ""Paused, Preparing"" or ""Active, Preparing."""
2023/05/19,2024/01/31,Enhancement,Import/Export,You can now export Relativity Dynamic Object (RDO) data from RelativityOne with Import/Export.
2023/05/17,2023/05/17,Enhancement,Processing,"For easy locating of processing entities, we updated the link views for custodian filtering in the Documents tab and the Select Item â Custodian modal to include only the full name and classification when creating Processing Data Sources."
2023/05/15,2024/01/31,Enhancement,Import/Export,"When exporting data, you can now rename native and text files with a custom file naming option."
2023/05/15,2024/01/31,Enhancement,Import/Export,You can now apply an export job configuration from an existing .kwx file to set up a new export job.
2023/05/15,2024/01/31,Enhancement,Import/Export,"When exporting data, you can now rename volumes and subdirectories and set the maximum size allowed for each volume and the maximum number of files to store in each subdirectory."
2023/05/15,2023/05/15,Enhancement,User,The User Disable On Date functionality has been migrated from the Workspace Housekeeping agent to the User Disable Scheduler agent.
2023/05/15,2023/05/15,Resolved defect,Legal Hold,"Improved performance of Employment Status Report, especially reports including large amounts of custodians."
2023/05/12,TBA,Enhancement,Processing,"We've added a new field to the files tab in Processing where you can see files that were deduplicated out of your processing set. You can access the file metadata and export this information, allowing for more visibility into deduplicated files."
2023/05/11,2023/05/11,Resolved defect,Legal Hold,Fixed issue where Select from Unsent on Communication was not working on bad data.
2023/05/10,2023/05/10,Enhancement,Review Center,"Queues that have automatic refresh enabled will now refresh based on coding activity on any queue in the workspace, not just in that particular queue."
2023/05/04,TBA,Enhancement,Processing,"When processing RSMF files you can now extract files up to 2 GB, map all RSMF 2.0 header metadata, and introduce your own custom X-RSMF headers."
2023/04/30,2024/01/31,Enhancement,Import/Export,"When setting up a new import job, you can now create a new workspace folder directly in the Destination folder pane."
2023/04/24,2023/04/24,Enhancement,Legal Hold,Updated Auto-Discover Targets field on Preservation Case to default to False due to low usage of the feature.
2023/04/20,2023/04/20,Enhancement,Review Center,"Negative document ranks, which are assigned when the classifier cannot predict a document, are now displayed in the Document Ranks chart and associated table."
2023/04/20,2023/04/20,Enhancement,Review Center,"The Pending state has been renamed to Not Started on the Review Center tabs to clarify that it is awaiting action by the administrator, not the system."
2023/04/19,2023/04/19,Resolved defect,Legal Hold,Fixed a defect where custodian portal auth provider troubleshoot claims button wouldn't work in ARM-ed workspaces.
2023/04/15,TBA,Enhancement,Legal Hold,"For Legal Hold, you are now able to use Modern Authentication (certificate based) for setting up Preservation Hold Settings."
2023/04/14,2024/01/31,Enhancement,Import/Export,"In Express Transfer, now you can quickly export large production sets with no size limitations to your local drive. To use the new feature, you need to update Express Transfer to version 2.0.0."
2023/04/13,2024/01/31,Enhancement,Import/Export,You can now export saved search from a RelativityOne workspace.
2023/04/13,TBA,Enhancement,Collect,"Linked attachments are now automatically collected as part of standard, non-archive, Microsoft 365 Outlook mailbox collections. The linked files contained in the email will be attached as if they were normal non-linked attachments to the parent email."
2023/04/12,2023/04/13,Enhancement,Review Center,"The Relevance Rate chart now shows partially-filled circles to represent partial, less than 100 documents, data points. In addition, the x-coordinate of each point now corresponds to the most recently coded document, to make the chart more understandable."
2023/04/11,2023/04/11,Enhancement,Management Console,"We've simplified the experience within the Cost Explorer, moving some fields from the Data Usage table to more appropriate places. Adding a Billable Workspace Type field to determine if a workspace is billed at Review, Repository or Cold Storage Rates and making the Data Usage table customizable to see the data that matters to you."
2023/04/11,2023/04/11,Enhancement,RelativityOne Review Template,"Updated the review template to include the latest features like RSMF slicing, Review Center, Import/Export, and sentiment analysis highlights to enhance review workflows and improve the user experience."
2023/03/31,2023/03/31,Deprecation,ARM,Move job is not longer available in ARM.
2023/03/29,2023/03/29,Resolved defect,Review Center,"You can now tie a document view to a queue, via queue settings, which controls the fields displayed in the documents card in the Viewer."
2023/03/29,2023/03/29,Enhancement,Security,You can now resolve Security Alerts without needing to leave Security Center as well as see the real-time status of alerts. You can also customize the alerts you would like notifications to reduce noise and focus on the signals most important to you security posture.
2023/03/27,2023/03/27,Enhancement,Management Console,Translate usage and cost metrics can now be found in the Management Console - Cost Explorer.
2023/03/23,TBA,Enhancement,Authentication,You can hide the user name login field on the login page by adding the LoginPageShowUsernameField instance setting.
2023/03/20,2023/03/27,Enhancement,OCR,The OCR engine now handles images larger than 8400 pixels. This eliminates the need for clients to manually re-size the images before processing them.
2023/03/20,2023/03/20,Enhancement,Collect,Short message type data sources are now included in the Collect summary report.
2023/03/15,2024/01/31,Enhancement,Express Transfer,Express Transfer Connectivity Check is used to ensure connection settings are set appropriately to successfully transfer data.
2023/03/15,2023/03/15,Enhancement,Review Center,"When a queue is deleted, we will delete the choice and sub-choices associated with the queue under the Review Center document field."
2023/03/15,2023/03/15,Enhancement,Review Center,The Queue History table shows the state of the queue at every previous refresh. The columns displayed vary depending on the queue type and whether it has the Review Field and positive/negative choices set.
2023/03/10,2023/03/10,Enhancement,Integration Points,Integration Point user may now decide whether to use documents tagging during data promotion workflow (workspace to workspace).
2023/03/08,2023/03/08,Enhancement,Legal Hold,Added OAuth2 Code flow for Custodian Portal Authentication Provider along with ability to specify additional scopes to return.
2023/03/02,2024/01/31,Enhancement,Import/Export,You can now choose destination folder structure when exporting data from Relativity. Files can be grouped in folders reflecting a workspace and you can still use the old method of grouping files by type.
2023/02/28,2024/01/31,Enhancement,Import/Export,You can now import PDF file as image to RelativityOne Workspace.
2023/02/28,2024/01/31,Enhancement,Import/Export,"Job details is available in Express Transfer for each transfer job via a View details link to provide more information about job uploads, including total number of files in the job and total number transferred, transfer speed, job ID."
2023/02/28,2023/02/28,Enhancement,Processing,The Processing Set layout has been modified to focus on job status and data source information. The Basic Settings layout card has been moved behind the Processing Set Status card.
2023/02/28,2023/02/28,Enhancement,Permissions,The Aero UI was released to all permissions pages unifying the experience with the rest of the product. No changes in workflow were made.
2023/02/22,2023/02/22,Enhancement,Processing,"The Storage ID field, representing a physically unique file in Processing, has been added to the Files tab in the Current Errored Files and All Errored Files views."
2023/02/21,TBA,Enhancement,Login Page,We removed the Chicago background image from the RelativityOne login page.
2023/02/21,2023/02/21,Resolved defect,Legal Hold,Fixed false positive validation when testing email settings.
2023/02/17,TBA,Resolved defect,Processing,Text from email inline images is now properly rolled into parent documents with the roll up image text Processing Profile option is enabled.
2023/02/17,2023/02/17,Enhancement,Legal Hold,Update the Projects and Questionnaire popups with more info when setting up Scheduled Reports.
2023/02/15,2023/02/16,Enhancement,Case Dynamics,"You can display a date suggestion coming from the document's sort date metadata for the Primary Fact Date field on a Fact layout. After setting up fields and field mappings, you can see the update if you go into the viewer, switch to the Case Dynamics Document Layout and click the Add button next to the fact field."
2023/02/10,2024/01/31,Enhancement,Import/Export,You can import Relativity Dynamic Object data into existing RDO for use in Relativity applications.
2023/02/09,2024/01/31,Resolved defect,Import/Export,Import/Export now doesn't require the Allow Import permission to run an export job.
2023/02/08,2023/02/08,Enhancement,Search,"Search using emojis symbols in data so you can gather insights these increasingly common communication methods. After you update your index to include emojis, you can include the relevant symbol into your search criteria to find and view the documents where they appear. This new ability will work for any data where emojis are stored in Unicode characters, such as emails, word documents, texts, WhatsApp and Google Chat."
2023/02/07,2024/01/31,Enhancement,Import/Export,Import/Export now supports regional settings other than English (United States) in the structured data import flows.
2023/02/06,N/A,Enhancement,Review Interface,"Proper support for PDFs in the new PDF Viewer, which primarily benefits users by having a streamlined and integrated PDF experience in the new Viewer."
2023/02/02,2023/02/02,Enhancement,Pivot,"Colors are now consistent across pivot charts and cluster visualization. Additionally, the palette of available colors has been expanded to 14."
2023/01/31,2024/01/31,Enhancement,Import/Export,"With the new Express Transfer desktop application, now you can quickly import large unstructured and structured data files with no size limitations to your local drive. (RelativityOne Zarzaparilla 0)"
2023/01/31,2023/01/31,Enhancement,Viewer,Sentiment Analysis Highlights Card in the Viewer (RelativityOne Zarzaparilla 0)
2023/01/31,2023/01/31,Enhancement,Viewer,Save as Search functionality is available for documents in Concept Search and View Similar documents cards in Viewer. (RelativityOne Zarzaparilla 0)
2023/01/30,TBA,Enhancement,Collect,You can now collect from iManage Cloud Classic instances. (RelativityOne Zarzaparilla 0)
2023/01/30,2023/01/31,Enhancement,Viewer,The document list in the Viewer will auto scroll when you go through documents using the navigation controls. (RelativityOne Zarzaparilla 0)
2023/01/30,2023/01/30,Resolved defect,Legal Hold,Updated file name of scheduled Custodian Change Report to be the name entered in Relativity when the report is set up rather than a generic file name. (RelativityOne Zarzaparilla 0)
2023/01/26,2023/01/26,Enhancement,Viewer,"When viewing a supported audio/video file, you can toggle on/off the waveform visualization to track the intensity of the sound and skip through silence. (RelativityOne Zarzaparilla 0)"
2023/01/26,2023/01/26,Enhancement,Viewer,Ability to render PowerPoint comments when they are Modern Comments. (RelativityOne Zarzaparilla 0)
2023/01/25,2023/01/25,Resolved defect,Review Interface,"Fixed a memory leak in the Relativity Forms application which caused gradual performance degradation as users navigated across documents in the coding panel or Form pages. After a few hundred navigations, users would begin to see a laggy or unresponsive UI until they closed and reopened Relativity in a new browser tab. (RelativityOne Zarzaparilla 0)"
2023/01/24,TBA,Enhancement,Processing,"Roll up extracted text from embedded images into parent documents during Processing, removing the need to promote them to your workspace while keeping all the important information. (RelativityOne Zarzaparilla 0)"
2023/01/24,2023/02/10,Enhancement,Review Center,"The Review Center is a unified destination for review management in RelativityOne. Build custom queues off saved searches, utilize AI to prioritize relevant documents, and leverage the reporting dashboard from one central location. (RelativityOne Zarzaparilla 0)"
2023/01/20,2023/01/20,Enhancement,Processing Administration,The Processing and Imaging Queue tab has been moved from the Processing Administration tab to the Queue Management tab. (RelativityOne Zarzaparilla 0)
2023/01/19,2023/01/19,Enhancement,Repository Workspace,The Translated Documents tab is now available in the Repository workspace. (RelativityOne Zarzaparilla 0)
2023/01/18,TBA,Enhancement,Collect,"X1 Endpoints that are offline during a collection will continue to be monitored and collected in the background. Once an endpoint comes back online and the collection completes, the collection will be pulled into Relativity upon retry of the Collect job. (RelativityOne Zarzaparilla 0)"
2023/01/18,2024/01/31,Enhancement,Import/Export,You can create a new custodian directly from the Import/Export UI when setting up a new raw (unprocessed) import job. (RelativityOne Zarzaparilla 0)
2023/01/18,2023/01/24,Enhancement,Sentiment analysis,"Use Sentiment Analysis to read between the lines and look for documents containing positive, negative, angry, and desirous sentiment. Running through a simple mass action, this application allows users to not only see content but context and intention. (RelativityOne Zarzaparilla 0)"
2023/01/18,2023/01/18,Resolved defect,Processing,Processing source locations with or without trailing slashes will now be seen as the same location. (RelativityOne Zarzaparilla 0)
2023/01/13,TBA,Enhancement,Processing,We have improved performance when retrieving errors at the end of Processing jobs. (RelativityOne Zarzaparilla 0)
2023/01/10,2023/01/10,Resolved defect,Processing,Mass Edits of the Processing Profile now copy all settings. (RelativityOne Zarzaparilla 0)
2023/01/10,2023/01/10,Enhancement,Cold Storage API,Documentation and SDK for Cold Storage API is now publicly available. (RelativityOne Zarzaparilla 0)
2023/01/06,TBA,Enhancement,Authentication,"Just-in-time user provisioning allows administrators to automatically manage new user provisioning and group membership through an external identity provider, such as Okta or Azure AD. This feature is supported for OpenID Connect identity providers. (RelativityOne Zarzaparilla 0)"
2023/01/04,N/A,Enhancement,Agents,Agents executing in the RelativityOne Compute framework received an operating system upgrade for improved network stability. (RelativityOne Zarzaparilla 0)
2023/01/03,TBA,Enhancement,Automated Workflows,The New Documents Added trigger now supports starting workflows from Import/Export. (RelativityOne Zarzaparilla 0)
2023/01/03,2024/01/31,Resolved defect,Import/Export,"The custodian list in the unprocessed data import flow is now sorted alphabetically and starts from 'custodians - processing' category, and then 'custodians - analytics' is shown. The list includes the first 10k custodians. (RelativityOne Zarzaparilla 0)"
2023/01/03,2023/01/03,Enhancement,Legal Hold,Updated UI for message popup when you respond to an incoming communication in the mailbox page. (RelativityOne Zarzaparilla 0)
2022/12/23,2024/01/31,Enhancement,Import/Export,Import/Export now integrates with Automated Workflows and sends the information about completed structured data jobs to enable work automation. (RelativityOne Zarzaparilla 0)
2022/12/23,2024/01/31,Resolved defect,Import/Export,You can now return to the canceled job from the Import/Export Job page. (RelativityOne Zarzaparilla 0)
2022/12/23,2024/01/31,Resolved defect,Import/Export,Import/Export now allows selecting relational fields in the field mapping step of import job configuration. (RelativityOne Zarzaparilla 0)
2022/12/23,2024/01/31,Resolved defect,Import/Export,Import/Export now validates delimiters chosen by the user to ensure no duplicated delimiters have been selected. (RelativityOne Zarzaparilla 0)
2022/12/20,2022/12/20,Enhancement,Review Interface,"Users can filter and sort the item list in the Find Similar Documents, Conceptual Search & Keyword Expansion cards in the Viewer (RelativityOne Zarzaparilla 0)"
2022/12/19,2022/12/19,Enhancement,Workspace Management,Resource Pool field is no longer available in UI during Workspace Create operation. Resource Pools are now determined automatically. (RelativityOne Zarzaparilla 0)
2022/12/19,2022/12/19,Resolved defect,Legal Hold,"Fixed a defect in which users were able to save whitespace for the Custodian Portal ""PortalURL"" field. (RelativityOne Zarzaparilla 0)"
2022/12/12,TBA,Enhancement,Imaging,The Basic imaging profile can now include tracked changes within a Word document. You can now easily image and produce all of the edits made to the original document in the image version of the file. (RelativityOne Zarzaparilla 0)
2022/12/05,2022/12/05,Enhancement,Legal Hold,Global Summary Report updated to only report on active custodians. (RelativityOne Zarzaparilla 0)
2022/12/05,2022/12/05,Enhancement,Legal Hold,We've added the custodian role to the custodian status dashboard default view for easier custodian reporting. (RelativityOne Zarzaparilla 0)
2022/12/01,N/A,Enhancement,RelativityOne Mobile,The RelativityOne app for iOS includes maintenance updates. (3.0.13)
2022/11/29,N/A,Enhancement,RelativityOne Mobile,The RelativityOne app for iOS includes maintenance updates. (3.0.12)
2022/11/29,2022/12/05,Enhancement,Mass Operations,This new job status page enables customer to monitor and cancel Mass Operations jobs across workspaces and eliminates the need to keep a tab open for a Mass Operation job after its initiated. (RelativityOne Zarzaparilla 0)
2022/11/28,2024/01/31,Enhancement,Import/Export,"Import/Export is a new data transfer solution in RelativityOne. Its simple user interface allows you to drag-and-drop data to upload into RelativityOne without needing to navigate between many tools, then seamlessly export when you need to work outside the platform. Plus, unprocessed data will automatically kick off a processing job and notify you when it is done. (RelativityOne Zarzaparilla 0)"
2022/11/28,2022/11/30,Enhancement,Review Interface,"The Export to CSV option is now available for Find Similar Documents, Concept Search and Keyword Expansion AI cards in the Viewer. (RelativityOne Zarzaparilla 0)"
2022/11/28,2022/11/28,Enhancement,Billing API,"The new Billing API supports programmatically retrieving billing data to check billing metrics for instance, workspace, matter, and client; checking peak values and current usage for the whole instance or specific workspaces; and retrieving billing user details. Check the Developer Platform documentation for more information. (RelativityOne Zarzaparilla 0)"
2022/11/28,2022/11/28,Enhancement,Redact,"In RelativityOne Redact, we have introduced a new character scope option for spreadsheet and image project rules. Common examples of the value of being able to draw markup at the character-level are when there is a need to redact the email handle but not the email domain, the first 5 digits of SSNs but not the last 4, the first 12 digits of CCNs but not the last 4. (RelativityOne Zarzaparilla 0)"
2022/11/18,2022/11/18,Enhancement,Automated Workflows,Users will now able to add a 'Completed Action Trigger' to their Automated Workflows that will enable them to kick off a workflow once a Translate job is finished. (RelativityOne Yarrow 2)
2022/11/16,2022/11/16,Enhancement,Security Center,We're making Security Center easier to navigate by moving the various views into categories with dedicated sub-tabs at the top of the page. You'll also have the ability to view and download Calder 7's Threat Intel Reports in Security Center. (RelativityOne Yarrow 2)
2022/11/15,2022/11/15,Enhancement,Integration Points,"Columns in Mapping Fields are now wider and are having a vertical scroll, which makes it easier to find a particular field for the mapping. (RelativityOne Yarrow 2)"
2022/11/15,2022/11/15,Enhancement,Integration Points,Each column in Field Mapping is now having total fields number displayed at the column's name. Which allows to quickly compare if number of mapped fields is matching. (RelativityOne Yarrow 2)
2022/11/15,2022/11/15,Enhancement,Redact,"In RelativityOne Redact, the Revert Native Redactions mass operation now allows the user to specify which markup set to revert. (RelativityOne Yarrow 2)"
2022/11/11,2022/11/11,Enhancement,Case Dynamics,You can now control how you export case information in your offline report to allow for a more customizable experience. You can build custom views to dictate the columns and sort the order of your data. (RelativityOne Yarrow 2)
2022/11/11,2022/11/11,Enhancement,Review Interface,"The ""Edit"" field will be available in Related items card if the ""Edit"" field is added to the Relational card view (RelativityOne Yarrow 2)"
2022/11/09,2022/11/10,Enhancement,Review Interface,Reviewers now have the ability to rotate native documents. (RelativityOne Yarrow 2)
2022/11/03,2022/11/03,Enhancement,RSMF Slicing,You now have the ability to use RSMF Slicing in Repository Workspaces. (RelativityOne Yarrow 2)
2022/11/03,2021/11/12,Enhancement,Review Interface,"You now have the ability enable Draft Mode, which will standardize how text is shown in the Viewer to make the text easier to read, eliminating readability issues for heavily formatted documents. (RelativityOne Yarrow 2)"
2022/10/25,TBA,Enhancement,Collect,You now have the ability to collect files from iManage into RelativityOne. (RelativityOne Yarrow 2)
2022/10/25,2023/07/17,Enhancement,Collect,You can now collect iManage Cloud and Cloud Classic data into RelativityOne Government instances.
2022/10/22,2022/11/12,Enhancement,Review Interface,You will receive a notification in the Viewer for the presence of Modern Comments within a Microsoft 2021/O365 PowerPoint file. You must download the file to view the comments. (RelativityOne Yarrow 2)
2022/10/20,2022/11/04,Enhancement,Viewer,"Native Viewer now leverages new PDF rendering capabilities, which will support rendering more formatting elements of PDFs, include XFA PDFs (RelativityOne Yarrow 1)"
2022/10/17,2022/10/17,Enhancement,Review Interface,You can now pop out the related items card into a separate window and pop it back. (RelativityOne Yarrow 1)
2022/10/14,TBA,Resolved defect,Processing,Relativity will show an error when large files over 60 GB contained in an L01 fail to discover during Processing. (RelativityOne Yarrow 1)
2022/10/14,2022/10/14,Enhancement,Legal Hold,You can now schedule legal hold reports to be sent as .pdf files or .csv files. (RelativityOne Yarrow 1)
2022/10/14,2022/10/14,Enhancement,Legal Hold,You are now able to filter on multiple groups simultaneously during Azure AD custodian import jobs. (RelativityOne Yarrow 1)
